"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 14 01:57:51 GMT 2025","Mon Apr 14 01:57:52 GMT 2025","355","","funcional.TesteLogin","","funcional.TesteLogin","deveRealizarLoginObterToken","Deve realizar login e obter o token de acesso com sucesso",""
"passed","Mon Apr 14 01:57:47 GMT 2025","Mon Apr 14 01:57:51 GMT 2025","3375","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #1",""
"passed","Mon Apr 14 01:57:56 GMT 2025","Mon Apr 14 01:57:56 GMT 2025","257","","contrato.TesteContratoLogin","","contrato.TesteContratoLogin","deveValidarContratoLoginComCredenciaisValidas","Deve validar o contrato de login com credenciais válidas",""
"passed","Mon Apr 14 01:57:55 GMT 2025","Mon Apr 14 01:57:55 GMT 2025","255","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoAtualizacaoProdutoComSucesso","Deve validar o contrato de atualização de produto com sucesso",""
"passed","Mon Apr 14 01:57:56 GMT 2025","Mon Apr 14 01:57:56 GMT 2025","254","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoCriacaoProdutoComSucesso","Deve validar o contrato de criação de produto com sucesso",""
"passed","Mon Apr 14 01:57:54 GMT 2025","Mon Apr 14 01:57:54 GMT 2025","253","","funcional.TesteProdutos","","funcional.TesteProdutos","deveDeletarProdutoComSucesso","Deve deletar o produto com sucesso",""
"passed","Mon Apr 14 01:57:52 GMT 2025","Mon Apr 14 01:57:53 GMT 2025","894","","funcional.TesteProdutos","","funcional.TesteProdutos","deveRetornarListaDeProdutosComUsuarioAutenticado","Deve retornar a lista de produtos com sucesso para usuário autenticado",""
"passed","Mon Apr 14 01:57:51 GMT 2025","Mon Apr 14 01:57:51 GMT 2025","283","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #3",""
"passed","Mon Apr 14 01:57:55 GMT 2025","Mon Apr 14 01:57:56 GMT 2025","274","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoDelecaoProdutoComSucesso","Deve validar o contrato de deleção de produto com sucesso",""
"passed","Mon Apr 14 01:57:54 GMT 2025","Mon Apr 14 01:57:55 GMT 2025","650","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoListaDeProdutosComSucesso","Deve validar o contrato da lista de produtos com sucesso",""
"passed","Mon Apr 14 01:57:51 GMT 2025","Mon Apr 14 01:57:51 GMT 2025","292","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #2",""
"passed","Mon Apr 14 01:57:54 GMT 2025","Mon Apr 14 01:57:54 GMT 2025","256","","saude.TesteSaude","","saude.TesteSaude","deveValidarSaudeApi","Deve validar a saude da api retornando status 200",""
"passed","Mon Apr 14 01:57:53 GMT 2025","Mon Apr 14 01:57:54 GMT 2025","276","","funcional.TesteProdutos","","funcional.TesteProdutos","deveCriarProdutoComSucesso","Deve criar um produto com sucesso",""
"passed","Mon Apr 14 01:57:54 GMT 2025","Mon Apr 14 01:57:54 GMT 2025","254","","funcional.TesteProdutos","","funcional.TesteProdutos","deveAtualizarProdutoComSucesso","Deve atualizar o produto com sucesso",""
"passed","Mon Apr 14 01:57:56 GMT 2025","Mon Apr 14 01:57:56 GMT 2025","250","","contrato.TesteContratoLogin","","contrato.TesteContratoLogin","deveValidarContratoLoginComCredenciaisInvalidas","Deve validar o contrato de login com credenciais inválidas e retornar erro de autenticação",""
"passed","Mon Apr 14 01:57:53 GMT 2025","Mon Apr 14 01:57:53 GMT 2025","517","","funcional.TesteProdutos","","funcional.TesteProdutos","deveRetornarListaDeProdutosComSucesso","Deve retornar a lista de produtos com sucesso",""
